
RULES:
S: (4) [C] $Zz $Zz $In 
11.00 11.50    ii   2   2   0   2
11.50 12.00  IV64   5   4   0   5
12.00 14.00     V   7   5   0   7
14.00 14.50     I   0   1   0   0
14.50 15.00 iii64   4   3   0   4
15.00 15.50    vi   9   6   0   9
15.50 16.00   I64   0   1   0   0
16.00 16.50    IV   5   4   0   5
16.50 17.00  vi64   9   6   0   9
17.00 17.50    ii   2   2   0   2
17.50 18.00  IV64   5   4   0   5
18.00 20.00     V   7   5   0   7
20.00 20.50     I   0   1   0   0
20.50 21.00 iii64   4   3   0   4
21.00 21.50    vi   9   6   0   9
21.50 22.00   I64   0   1   0   0
22.00 22.50    IV   5   4   0   5
22.50 23.00  vi64   9   6   0   9
23.00 23.50    ii   2   2   0   2
23.50 24.00     V   7   5   0   7
24.00 24.50     I   0   1   0   0
24.50 25.00 iii64   4   3   0   4
25.00 25.50    vi   9   6   0   9
25.50 26.00   I64   0   1   0   0
26.00 26.50    IV   5   4   0   5
26.50 27.00  vi64   9   6   0   9
27.00 27.50    ii   2   2   0   2
27.50 28.00  IV64   5   4   0   5
28.00 30.00     V   7   5   0   7
30.00 30.50     I   0   1   0   0
30.50 31.00    IV   5   4   0   5
31.00 31.50     I   0   1   0   0
31.50 32.00     V   7   5   0   7
32.00 32.50     I   0   1   0   0
32.50 33.00 iii64   4   3   0   4
33.00 33.50    vi   9   6   0   9
33.50 34.00   I64   0   1   0   0
34.00 34.50    IV   5   4   0   5
34.50 35.00  vi64   9   6   0   9
35.00 35.50    ii   2   2   0   2
35.50 36.00  IV64   5   4   0   5
36.00 38.00     V   7   5   0   7
38.00 38.50     I   0   1   0   0
38.50 39.00    IV   5   4   0   5
39.00 40.00     V   7   5   0   7
40.00 40.50     I   0   1   0   0
40.50 41.00 iii64   4   3   0   4
41.00 41.50    vi   9   6   0   9
41.50 42.00   I64   0   1   0   0
42.00 42.50    IV   5   4   0   5
42.50 43.00  vi64   9   6   0   9
43.00 43.50    ii   2   2   0   2
43.50 44.00  IV64   5   4   0   5
44.00 46.00     V   7   5   0   7
46.00 46.50     I   0   1   0   0
46.50 47.00 iii64   4   3   0   4
47.00 47.50    vi   9   6   0   9
47.50 48.00   I64   0   1   0   0
48.00 48.50    IV   5   4   0   5
48.50 49.00  vi64   9   6   0   9
49.00 49.50    ii   2   2   0   2
49.50 50.00  IV64   5   4   0   5
50.00 52.00     V   7   5   0   7
52.00 52.50     I   0   1   0   0
52.50 53.00 iii64   4   3   0   4
53.00 53.50    vi   9   6   0   9
53.50 54.00   I64   0   1   0   0
54.00 54.50    IV   5   4   0   5
54.50 55.00  vi64   9   6   0   9
55.00 55.50    ii   2   2   0   2
55.50 56.00     V   7   5   0   7
56.00 56.50     I   0   1   0   0
56.50 57.00 iii64   4   3   0   4
57.00 57.50    vi   9   6   0   9
57.50 58.00   I64   0   1   0   0
58.00 58.50    IV   5   4   0   5
58.50 59.00  vi64   9   6   0   9
59.00 59.50    ii   2   2   0   2
59.50 60.00  IV64   5   4   0   5
60.00 62.00     V   7   5   0   7
62.00 62.50     I   0   1   0   0
62.50 63.00    IV   5   4   0   5
63.00 63.50     I   0   1   0   0
63.50 64.00     V   7   5   0   7
64.00 64.50     I   0   1   0   0
64.50 65.00 iii64   4   3   0   4
65.00 65.50    vi   9   6   0   9
65.50 66.00   I64   0   1   0   0
66.00 66.50    IV   5   4   0   5
66.50 67.00  vi64   9   6   0   9
67.00 67.50    ii   2   2   0   2
67.50 68.00  IV64   5   4   0   5
68.00 70.00     V   7   5   0   7
70.00 70.50     I   0   1   0   0
70.50 71.00    IV   5   4   0   5
71.00 72.00     V   7   5   0   7
---

